answers,cd,code,content
 ANSWERS: \(\frac{{a\sqrt {21} }}{7}\)  |  \(\frac{a}{{\sqrt 5 }}\)  |  \(\frac{a}{{\sqrt {13} }}\)  |  \(\frac{a}{5}\) ,H05,02-26a-4a13,  Cho lăng trụ đều  \(ABC.A'B'C'\)  có  \(AB = AA' = a\) .Tính khoảng cách từ A đến mặt phẳng  \((A'BC)\)  theo a
 ANSWERS: \(\frac{{12\sqrt 3 }}{5}\)  |  Không tồn tại khoảng cách |  \(4\sqrt 7 \)  |  \(\frac{{3\sqrt 5 }}{2}\) ,H07,H07-06b-1a13," (13) Trong không gian với hệ tọa độ Oxyz, cho hai đường thẳng   \({d_1}:\frac{{x - 3}}{1} = \frac{{y + 2}}{1} = \frac{{z - 2}}{2}\) và  \({d_2}:\frac{x}{1} = \frac{{y - 1}}{2} = \frac{{z - 2}}{{ - 3}}\) .Tính khoảng cách giữa 2 đường thẳng  \({d_1}\) và \({d_2}\) "
" ANSWERS:AB,BC,MN | AB,BC,OF |  MN,BC,OF |  MN,BC,SB",H01,01-09a-2a2,"  Cho hình chóp  \(S.ABC\)  có N,M,O lần lượt nằm trên AC,AB, SC sao cho  \(AN = NC\)  và  \(AM = 2MB\) , \(SO = \frac{1}{4}SC\) . Mặt phẳng  \(\left( {MNO} \right)\)  cắt SB tại F. Khi đó ba đường thẳng nào sau đây đồng quy?"
 ANSWERS: Tam giác |  Tứ giác |  Ngũ giác |  Lục giác,H01,01-05a-2a17,  Cho hình hộp \(ABCD.A'B'C'D'\) .Gọi E là trung điểm của C’D’. Thiết diện của mặt phẳng  \(\left( {BDE} \right)\) với hình hộp là hình gì?
 ANSWERS: Chỉ \(\left( I \right)\)và \(\left( {II} \right)\) |  Chỉ \(\left( {III} \right)\)và \(\left( {II} \right)\) |  Chỉ \(\left( I \right)\)và \(\left( {III} \right)\) |  Chỉ \(\left( I \right)\)đúng,D05,02-33a-6a7, Tìm khẳng định đúng trong các khẳng định sau \(\left( I \right)f\left( x \right) = {x^5} - x + 1\)liên tục trên R \(\left( {II} \right)f\left( x \right) = \frac{1}{{\sqrt {{x^2} - 1} }}\)liên tục trên khoảng \(\left( { - 1;1} \right)\) \(\left( {III} \right)\) \(f\left( x \right) = \sqrt {x - 2} \) liên tục trên đoạn \(\left[ {2; + \infty } \right)\)
 ANSWERS: \(x = 1\)  |  \(x = 2\)  |  \(y = 1\)  |  \(y = \frac{1}{2}\) ,D07,01-45a-1a11,  Đồ thị hàm số  \(y = \frac{{2x + 1}}{{x - 1}}\)  có tiệm cận đứng là :
 ANSWERS:\(a\) và \(b\) không có điểm chung | \(a\) và \(b\) là hai cạnh của một hình tứ diện | \(a\) và \(b\) nằm trên hai mặt phẳng phân biệt | \(a\) và \(b\) không cùng nằm trên bất kì mặt phẳng nào,H03,12-15b-2002a28,  Cho hai đường thẳng \(a\) và \(b.\) Điều kiện nào sau đây đủ kết luận \(a\) và \(b\) chéo nhau
 ANSWERS: \(\frac{{{a^3}\sqrt {57} }}{6}\)  |  \(\frac{{{a^3}\sqrt {57} }}{3}\)  |  \(\frac{{{a^3}\sqrt {57} }}{4}\)  |  \(\frac{{{a^3}\sqrt {57} }}{2}\) ,H05,00-07a-2a3,"  Cho hình chóp S.ABC có \(SA = SB = SC\) . Đáy ABC có  \(AB = 2a,\,AC = 3a,\,\widehat {BAC} = 120^\circ \) . SA tạo vớiđáy góc  \(30^\circ \) . Tính \({V_{S.ABC}}\) ."
 ANSWERS:2001000 | 2909920 | 2000999 | 2011102,D04,01-18a-1a2,"  Với \(n \in {N^*}\), tính tổng  \(S = 1 + 2 + 3 + 4 + 5 + ... + 2000\)?"
 ANSWERS: \(\frac{{{a^2}\sqrt 2 }}{2}\)  |  \(\frac{{{a^2}\sqrt 2 }}{3}\)  |  \(\frac{{{a^2}\sqrt 3 }}{3}\)  |  \(\frac{{a\sqrt 2 }}{2}\) ,H03,12-18b-2002a20,"  Cho hình lập phương  \(ABCD.A'B'C'D'\)  cạnh a. M là trung điểm AD. Mặt phẳng  \(\left( P \right)\)  đi qua M và song song với  \(AC,BB'\) . Biết  \(BB'\)  vuông góc với AC. Tính thiết diện của hình chóp theo a "
 ANSWERS: \(S = \frac{{26}}{3}.\)  |  \(S = \frac{7}{3}.\)  |  \(S = \frac{{23}}{3}.\)  |  \(S = \frac{{25}}{3}.\) ,D09,01-65a-2a4,"  Tính diện tích hình phẳng \(S\) giới hạn bởi đồ thị hàm số  \(y = x\sqrt {1 + {x^2}} \) , trục hoànhvà đường thẳng  \(x = 2\sqrt 2 \) ."
 ANSWERS: \(\int\limits_0^4 {f(x)dx} < \int\limits_0^4 {g(x)dx} \)  |  \(\int\limits_0^4 {\left( {f(x) - g\left( x \right)} \right)dx} = 1\)  |  \(\int\limits_0^4 {f(x)dx} > \int\limits_0^4 {g(x)dx} \)  |  \(\int\limits_0^4 {f(x)dx} = 5\) ,D09,00-29a-2a20,"  Giả sử  \(\int_0^1 {f\left( x \right)dx} = 2\) ,  \(\int_1^4 {f\left( x \right)dx} = 3\) , \(\int_0^4 {g\left( x \right)dx} = 4\) . Khẳng định nào sau đây là SAI ?"
 ANSWERS:\(0\) | \(1\) | \(4\) | \(5\),D07,01-59a-1a16,  Cho hàm số \(y = f\left( x \right)\) liên tục trên đoạn \(\left[ { - 1;3} \right]\) và có đồ thị như hình bên. Gọi \(M\) và \(m\) lần lượt là giá trị lớn nhất và nhỏ nhất của hàm số đã cho trên đoạn \(\left[ { - 1;3} \right]\). Giá trị của \(M - m\) bằng
 ANSWERS: \(m = 5\)  |  \(m = 2\)  |  \(m = 3\)  |  Không tồn tại m,D07,00-06a-1a23,  Cho hàm số  \(y = {x^4} - 2(m - 2){x^2} + 1\) . Tìm m để hàm số có 3 cực trị tạo thành tam giác có diện tích bằng  \(\sqrt {243} \) 
 ANSWERS:A(2;3) vÃ  B(4;5) | A(–2;2) và B(5;3) | A(2;–3) và B(1;8) | A(–1;0) và B(4;5) | Đáp án khác...,D07,D07-06a-15a,Cho hàm số \(y = \frac{{x + 1}}{{x - 3}}\)  (C).Tìm 2 điểm thuộc (C) sao cho chúng đối xứng nhau qua điểm \(M\left( {\frac{3}{2};\frac{5}{2}} \right)\)  
 ANSWERS:80 | 60 | 48 | 188,D02,01-17a-3a21," Trên giá sách có 10 quyển sách Văn khác nhau, 8 quyển sách Toán khác nhau và 6 quyển sách Tiếng Anh khác nhau. Hỏi có bao nhiêu cách chọn hai quyển sách khác môn nhau?"
 ANSWERS:1140 | 1590 | 1210 | 1490,D02,01-65a-2a8," Trong mặt phẳng, cho 20 điểm phân biệt sao cho không có 3 điểm nào thẳng hàng. Hỏi có thể lập được bao nhiêu tam giác mà các đỉnh của nó thuộc tập điểm đã cho?"
 ANSWERS:2378 năm | 2300 năm | 2387 năm | 2400 năm,D08,00-25a-5a7,"  Trong vật lí, sự phân rã của các chất phóng xạ được biểu diễn bởi công thức:   \(m\left( t \right) = {m_o}.{e^{ - \frac{{\ln 2}}{T}.t}}\) , trong đó là khối lượng ban đầu của chất phóng xạ (tại thời điểm t= 0); T là chu kì bán rã (tức là khoảng thời gian để một nửa khối lượng chất phóng xạ bịbiến thành chất khác). Chu kì bán rã của Cabon là khoảng 5730 năm. Người ta tìm được trong một mẫu đồ cổ một lượng Cabon và xác định được nó đã mất khoảng 25% lượng Cabon ban đầu của nó. Hỏi mẫu đồ cổ đó có tuổi là bao nhiêu?"
" ANSWERS: Tam giác, tứ giác |  Tứ giác, ngũ giác |  Tam giác, ngũ giác |  Tứ giác, lục giác",H01,01-07a-3a9,"  Cho hình chóp  \(S.ABC\) .Gọi E,F lần lượt là trung điểm của SA,AB. Mặt phẳng   \(\left( \alpha \right)\) đi qua EF có thể cắt hình chóp theo thiết diện là hình gì?"
" ANSWERS:\(M\left( {0;
- 3} \right)\) là điểm cực tiểu của hàm số. |  Đồ thị hàm số có hai điểm cực đại và một điểm cực tiểu. | \(f\left( 2 \right)\) được gọi là giá trị cực đại của hàm số. | \({x_0} = 2\) được gọi là điểm cực đại của hàm số.",D07,00-38a-1a4,"  Cho hàm số \(y = f\left( x \right)\) xác định, liên tục trên \(\mathbb{R}\) và có bảng biến thiên:|<|00-38a-1-image1|>|  Khẳng định nào sau đây sai?"
 ANSWERS:4 | 6 | 8 | 12 | Đáp án khác...,H06,H06-05a-1a16,Số mặt của một bát diện đều là
 ANSWERS:\({\log _6}5 = \frac{{ab}}{{a + b}}\) | \({\log _6}5 = \frac{1}{{a + b}}\) | \({\log _6}5 = \frac{1}{{ab}}\) | \({\log _6}5 = \frac{{a + b}}{{ab}}\),D08,01-65a-2a11,  Cho\({\log _2}5 = a\)và \({\log _3}5 = b\). Mệnh đề nào sau đây là đúng?
 ANSWERS:\(\Delta :\frac{{x - 1}}{4} = \frac{{y - 2}}{{ - 2}} = \frac{{z - 1}}{{ - 3}}\) | \(\Delta :\frac{{x - 1}}{{ - 4}} = \frac{{y - 2}}{{ - 2}} = \frac{{z - 1}}{3}\) | \(\Delta :\frac{{x - 1}}{4} = \frac{{y - 2}}{2} = \frac{{z - 1}}{3}\) | \(\Delta :\frac{{x - 1}}{4} = \frac{{y - 2}}{{ - 2}} = \frac{{z - 1}}{3}\),H08,01-54a-4a7," Trong không gian với hệ tọa độ \(Oxyz\), cho đường thẳng  \(d:\left\{ \begin{gathered} x = 1 + t \hfill \\y = 2t \hfill \\z = - 1 \hfill \\ \end{gathered} \right.\) , điểm  \(M\left( {1;2;1} \right)\)  và mặt phẳng   \(\left( P \right):2x + y - 2z - 1 = 0\) . Đường thẳng \(\Delta \) đi qua \(M\), song song với \(\left( P \right)\) và vuông góc với \(d\) có phương trình:"
" ANSWERS:(I) đúng, (II) sai | (I) sai, (II) đúng | (I), (II) đều đúng | (I), (II) đều sai",H04,01-29a-1a18,"Cho hình lập phương \(ABCD.A'B'C'D'\)  Tìm khẳng định đúng, sai trong các khẳng định sau: <br /> \(\begin{gathered} \left( I \right):AC' \bot A'D' \hfill \\\left( {II} \right):A'B' \bot C'D \hfill \\\end{gathered} \)"
 ANSWERS:\(\sqrt {10} \) | \(\sqrt {68} \) | \(2\sqrt {10} \) | \(4\sqrt 2 \),D10,00-42a-1a20,"  Biết \(M\left( {2; - 1} \right),N\left( {3;2} \right)\) lần lượt là hai điểm biểu diễn của số phức \({z_1},{z_2}\) trên mặt phẳng tọa độ phức  \(Oxy\)  . Khi đó môđun của số phức \(z_{_1}^2 + {z_2}\) bằng:"
 ANSWERS: \(\frac{{20{a^3}\sqrt {15} }}{{27}}\pi \)  |  \(\frac{{20{a^3}\sqrt {15} }}{9}\)  |  \(\frac{{10\pi {a^3}\sqrt {15} }}{3}\)  |  \(\frac{{10{a^3}\sqrt {15} }}{{27}}\) ,H06,00-14a-3a10,"  Cho tứ diện S.ABC đáy là tam giác vuông tại B, tam giác SAC đều và có  \(\left( {SAC} \right) \bot \left( {ABC} \right)\) ,  \(AB = 2a\) ,  \(AC = a\sqrt 5 \) , tìm thể tích mặt cầu ngoại tiếp S.ABC."
 ANSWERS:-7 | 0 | -3 | -5,D01,02-04a-1a16,  Tổng tất cả các giá trị k cho   \(x \in \left[ { - 2\pi ;2\pi } \right)\)  của phương trình   \(\sin \left( {x + \frac{\pi }{3}} \right) = \sin 2x\) 
 ANSWERS:3 | 2 | 1 | 4,D07,00-12a-1a6,  Cho hàm số  \(y = - {x^4} + 2{x^2} - 1\) . Số giao điểm của đồ thị hàm số với trục Ox bằng:
 ANSWERS: Có 3 cặp nghiệm |  Có 1 cặp nghiệm |  Không có cặp nghiệm nào |  Có 2 cặp nghiệm,D10,D10-04a-0a13," Cho hệ phương trình sau : \(\left\{ \begin{gathered} {z_1} + {z_2} = 4 + i\,\,\,\,\,\,\,\,\left( 1 \right) \hfill \\ {z_1}^2 + {z_2}^2 = 5 - 2i\,\,\left( 2 \right) \hfill \\ \end{gathered} \right.\)  . Hỏi hệ phương trình trên có mấy cặp nghiệm trên tập \(\mathbb{R}\)  ?"
 ANSWERS: \(S = \frac{{{{\left( { - 1} \right)}^{n + 1}}n\left( {n + 1} \right)}}{2}.\)  |  \(S = \frac{{{{\left( { - 1} \right)}^{n + 1}}n\left( {n - 1} \right)}}{2}.\)  |  \(S = \frac{{{{\left( { - 1} \right)}^{n - 2}}n\left( {n + 1} \right)}}{2}.\)  |  \(S = \frac{{{{\left( { - 1} \right)}^{n - 1}}n\left( {n - 1} \right)}}{2}.\) ,D04,01-24a-2a8,"  Với mỗi số nguyên dương  \(n\) , đặt   \(S = {1^2} - {2^2} + {3^2} - {4^2} + {5^2} - .... + {\left( { - 1} \right)^{n + 1}}{n^2}\) . Mệnh đề nào sau đây là ĐÚNG?"
 ANSWERS: \(6x + 18y - 36z + 39 = 0\)  |  \(4x - 4y + z = 0\)  |  \(6x - 18y - 36z + 93 = 0\)  |  \(4x + 4y + z - 12 = 0\) ,H07,00-29a-1a7,"  Cho điểm   \(A\left( {2;1;3} \right),\,\,B\left( {0;2;1} \right),\,\,C\left( {3; - 1;0} \right),\,\,D\left( { - 1; - 2;1} \right)\) . Lập phương trình mặt phẳng (P) đi qua trung điểm 3 đoạn thẳng AB, AC, BD"
 ANSWERS:0 | 1 | 2 | 3,D07,00-02a-1a10,  Đồ thị hàm số  \(y = \frac{{x + 1}}{{x - 2}}\)  có : (I): Tiệm cận ngang  \(y = 1\) . (II): Tiệm cận đứng  \(x = 2\)  (III): Hàm số có 1 điểm cực trị Số khẳng định ĐÚNG là?
" ANSWERS: \(m \in \left[ {0;1} \right]\)  |  \(m \in \left[ {1;2} \right]\)  |  \(m \in \left( {0;6} \right)\)  |  \(m \in \left( { - 3;
- 2} \right)\) ",D07,01-65a-1a8,  Cho hàm số  \(y = \frac{{2mx + 1}}{{m - x}}\)  (m là tham số) thỏa mãn trên đoạn   \(\mathop {\max }\limits_{\left[ {2;3} \right]} y = \frac{{ - 1}}{3}\) .Mệnh đề nào dưới đây đúng?
 ANSWERS:\(n = 685\) | \(n = 679\) | \(n = 672\) | \(n = 675\),D07,00-43a-1a40,"  Cho hàm số \(y = {x^3} - 2009x\) có đồ thị là \(\left( C \right)\). \({M_1}\) là điểm trên \(\left( C \right)\) có hoành độ \({x_1} = 1\). Tiếp tuyến của \(\left( C \right)\) tại \({M_1}\) cắt \(\left( C \right)\) tại điểm \({M_2}\) khác \({M_1}\), tiếp tuyến của \(\left( C \right)\) tại \({M_2}\) cắt \(\left( C \right)\) tại điểm\({M_3}\) khác \({M_2}\), …, tiếp tuyến của \(\left( C \right)\) tại \({M_{n - 1}}\) cắt \(\left( C \right)\) tại \({M_n}\) khác \({M_{n - 1}}\)\(\left( {n = 4;5;...} \right)\), gọi \(\left( {{x_n};{y_n}} \right)\) là tọa độ điểm \({M_n}\). Tìm \(n\) để:  \(2009{x_n} + {y_n} + {2^{2013}} = 0\)."
