cd,text_encoded,answers_encoded
D04,"tim m de phuong trinh x^0 + left m^0 + 0 right x^0 + left 0 m^0 + 0 right x + 0 = 0 * co ba nghiem phan biet x_0 , x_0 , x_0 lap thanh mot cap so nhan. answers: m = 0 | m = + 0 | m = + 0 | m = 0",answers: m = 0 | m = + 0 | m = + 0 | m = 0
D05,tinh gioi han: mathop lim limits_ x to 0 left frac x^0 + 0x + 0 + x^0 + x + 0 right answers: frac 0 0 | frac 0 0 | frac + 0 0 | frac + 0 0,answers: frac 0 0 | frac 0 0 | frac + 0 0 | frac + 0 0
D07,cho ham so y = frac sqrt x^0 + 0x + 0 x + 0 co do thi c . do thi ham so co bao nhieu duong tiem can dung va tiem can ngang? answers:0 | 0 | 0 | 0,answers:0 | 0 | 0 | 0
D08,cho a = log _0 0 va b = log _0 0 . hay bieu dien log _0 0 theo a va b : answers: 0 + frac 0a b | 0 + frac 0a b | 0 + frac a b | 0 + frac a b,answers: 0 + frac 0a b | 0 + frac 0a b | 0 + frac a b | 0 + frac a b
D03,khi khai trien nhi thuc newton g left x right = left ax + 0 right ^n thi ta thay trong do xuat hien hai so hang 0x va 0 x^0 . luc nay gia tri cua a va n la answers: a = 0;n = 0 | a = 0;n = 0 | a = 0;n = 0 | a = 0;n = 0,answers: a = 0;n = 0 | a = 0;n = 0 | a = 0;n = 0 | a = 0;n = 0
H07,"mot cai pheu co dang hinh non. nguoi ta do mot luong nuoc vao pheu sao cho chieu cao cua luong nuoc trong pheu bang frac 0 0 chieu cao cua pheu. hoi neu bit kin mieng pheu roi lon nguoc pheu len thi chieu cao cua nuoc bang bao nhieu? biet rang chieu cao cua pheu la 0cm. answers: 0,0 cm | 0,0 cm | 0,0 cm | 0,0 cm","answers: 0,0 cm | 0,0 cm | 0,0 cm | 0,0 cm"
D07,"tim toa do giao diem m cua do thi ham so y = frac x + 0 x + 0 voi truc tung. answers: m left 0; frac 0 0 right | m left 0;
+ frac 0 0 right | m left 0; frac 0 0 right | m left 0;
+ frac 0 0 right","answers: m left 0; frac 0 0 right | m left 0;
+ frac 0 0 right | m left 0; frac 0 0 right | m left 0;
+ frac 0 0 right"
D06,"mot xe khach di chuyen cham dan voi van toc v left t right = 0t + 0 t^0 , left m/s right . trong do t duoc tinh bang giay s . tai thoi diem t = 0s xe khach co gia toc la : answers: 0 left m/ s^0 right | 0 left m/ s^0 right | 0 left m/ s^0 right | 0 left m/ s^0 right",answers: 0 left m/ s^0 right | 0 left m/ s^0 right | 0 left m/ s^0 right | 0 left m/ s^0 right
D06,0 cho ham so y = sqrt left 0 + tan x right . dao ham cua ham so la answers: y' = frac 0 0 cos ^0 x sqrt left 0 + 0 tan x right | y' = frac + 0 0 cos ^0 x sqrt left 0 + 0 tan x right | y' = frac 0 cos ^0 x sqrt left 0 + 0 tan x right | y' = frac + 0 cos ^0 x sqrt left 0 + 0 tan x right,answers: y' = frac 0 0 cos ^0 x sqrt left 0 + 0 tan x right | y' = frac + 0 0 cos ^0 x sqrt left 0 + 0 tan x right | y' = frac 0 cos ^0 x sqrt left 0 + 0 tan x right | y' = frac + 0 cos ^0 x sqrt left 0 + 0 tan x right
H05,"cho hinh lap phuong abcd.a'b'c'd'. goi m, n lan luot la trung diem cua ad, bc. tinh ty so k = frac v_ am text d 'a'bnc'b' v_ abc text d .a'b'c'd' . answers: k = frac 0 0 | k = frac 0 0 | k = frac 0 0 | k = frac 0 0",answers: k = frac 0 0 | k = frac 0 0 | k = frac 0 0 | k = frac 0 0
D06,"mot vat roi tu do voi phuong trinh chuyen dong s = frac 0 0 g t^0 , trong do g = 0,0m/ s^0 va t tinh bang giay s . van toc cua vat tai thoi diem t=0s bang: answers: 0m/s | 0m/s | 0,0m/s | 0,0m/s","answers: 0m/s | 0m/s | 0,0m/s | 0,0m/s"
D01,"tim tap xac dinh cua ham so y = cos sqrt x answers: d = left 0;0 pi right | d = left 0;
+ infty right | d = r | d = r backslash left 0 right","answers: d = left 0;0 pi right | d = left 0;
+ infty right | d = r | d = r backslash left 0 right"
D08,"tap xac dinh cua ham so y = left x + 0 right ^ frac 0 0 la: answers: d = r | d = left 0;
+ infty right | d = left 0;
+ infty right | d = r backslash left 0 right","answers: d = r | d = left 0;
+ infty right | d = left 0;
+ infty right | d = r backslash left 0 right"
D04,"cho cap so cong biet tong 0 so hang dau bang 
0,tong
 0 so hang dau bang 0. viet so hang tong quat va tim so hang thu 0 cua day answers: u_n = 0 + 0 n + 0 va u_ 0 = 0 | u_n = 0 + 0 n + 0 va u_ 0 = + 0 | u_n = + 0 + 0 n + 0 va u_ 0 = 0 | u_n = 0 + 0 n + 0 va u_ 0 = 0",answers: u_n = 0 + 0 n + 0 va u_ 0 = 0 | u_n = 0 + 0 n + 0 va u_ 0 = + 0 | u_n = + 0 + 0 n + 0 va u_ 0 = 0 | u_n = 0 + 0 n + 0 va u_ 0 = 0
D06,cho ham so y = left 0x + 0 right sqrt x + 0 . dao ham cua ham so la answers: 0 + frac 0 0 sqrt x + 0 | 0 left 0x + 0 right + frac 0 0 | 0 sqrt x + 0 + left 0x + 0 right . frac 0 0 sqrt x + 0 | left 0x + 0 right sqrt x + 0 + frac 0x + 0 sqrt x + 0,answers: 0 + frac 0 0 sqrt x + 0 | 0 left 0x + 0 right + frac 0 0 | 0 sqrt x + 0 + left 0x + 0 right . frac 0 0 sqrt x + 0 | left 0x + 0 right sqrt x + 0 + frac 0x + 0 sqrt x + 0
D08,cho phuong trinh 0^ x + 0 + 0^x = 0^ x + 0 + 0^ x + 0 . gia tri cua x la answers: x = 0 | x = 0 | x = 0 | x = 0,answers: x = 0 | x = 0 | x = 0 | x = 0
H04,"cho hinh chop s.abcd co day abcd la hinh vuong canh a , sa bot left abcd right va sa = a sqrt 0 . goi alpha la goc giua sc va left sab right , beta la goc giua ac va left sbc right . gia tri tan alpha + sin beta bang? answers: frac 0 + sqrt 0 0 | frac 0 + sqrt 0 0 | frac sqrt 0 + sqrt 0 0 | frac 0 + sqrt 0 0",answers: frac 0 + sqrt 0 0 | frac 0 + sqrt 0 0 | frac sqrt 0 + sqrt 0 0 | frac 0 + sqrt 0 0
D09,cho int limits_0^0 f left x right text d x = 0 . tinh tich phan i = 0 int limits_0^ frac pi 0 f left sin 0x right . cos 0x text d x. answers: i = frac 0 0 cdot | i = frac 0 0 cdot | i = 0. | i = + frac 0 0 cdot,answers: i = frac 0 0 cdot | i = frac 0 0 cdot | i = 0. | i = + frac 0 0 cdot
D06,cho ham so y = tan frac x 0 + tan x .dao ham cua ham so la answers: frac 0 cos ^0 left frac x 0 right + frac 0 cos ^0 x | frac 0 0 cos ^0 left frac x 0 right + frac 0 cos ^0 x | + frac 0 0 cos ^0 left frac x 0 right + frac 0 cos ^0 x | frac + 0 cos ^0 left frac x 0 right + frac 0 cos ^0 x,answers: frac 0 cos ^0 left frac x 0 right + frac 0 cos ^0 x | frac 0 0 cos ^0 left frac x 0 right + frac 0 cos ^0 x | + frac 0 0 cos ^0 left frac x 0 right + frac 0 cos ^0 x | frac + 0 cos ^0 left frac x 0 right + frac 0 cos ^0 x
D07,tim gia tri nho nhat cua ham so y = frac x^0 + 0 x + 0 tren doan left 0;0 right answers: min y = frac 0 0 | min y = frac 0 0 | min y = 0 | min y = 0,answers: min y = frac 0 0 | min y = frac 0 0 | min y = 0 | min y = 0
H03,cho duong thang d: 0x+y + 0 = 0 . lap phuong trinh d' la anh cua d qua phep doi xung truc oy answers: y = + 0x + 0 | y = + 0x + 0 | y = 0x + 0 | y = + 0x + 0,answers: y = + 0x + 0 | y = + 0x + 0 | y = 0x + 0 | y = + 0x + 0
D06,cho ham so y = frac 0 0 x^0 + 0 x^0 + 0x + 0 . tim x de y' leqslant 0 answers: x > + 0 | x leqslant + 0 | x = + 0 | x = 0,answers: x > + 0 | x leqslant + 0 | x = + 0 | x = 0
D09,"tinh the tich hinh phang xoay quanh truc ox gioi han boi y = sqrt 0 x , truc hoanh va x = 0, x = 0 answers: pi frac 0 sqrt 0 0 + 0 0 | pi frac 0 sqrt 0 0 + 0 0 | pi frac 0 sqrt 0 0 + 0 0 | pi frac sqrt 0 0 + 0 0",answers: pi frac 0 sqrt 0 0 + 0 0 | pi frac 0 sqrt 0 0 + 0 0 | pi frac 0 sqrt 0 0 + 0 0 | pi frac sqrt 0 0 + 0 0
D05,"hinh chu nhat co chieu dai gap doi chieu rong, lay trung diem cua chieu dai va noi voi hai dinh de tao thanh 0 tam giac, tiep tuc lay trung diem cua hai canh tam giac va dung hinh chu nhat nhu hinh ben. dung lien tiep cac hinh nhu vay, hoi tong dien tich cua tat ca cac hinh lien tiep do la: answers:0 | 0 | frac 0 0 | frac 0 0",answers:0 | 0 | frac 0 0 | frac 0 0
D01,"giai phuong trinh : left sqrt 0 tan x + 0 right left 0 cot x + sqrt 0 right = 0 answers: left begin gathered x = frac pi 0 + k0 pi hfill 
 x = frac + pi 0 + k0 pi hfill 
 end gathered right. k in z | x = frac pi 0 + k pi left k in z right | left begin gathered x = frac pi 0 + k pi hfill 
 x = frac + pi 0 + k pi hfill 
 end gathered right. , , k in z | phuong trinh vo nghiem","answers: left begin gathered x = frac pi 0 + k0 pi hfill 
 x = frac + pi 0 + k0 pi hfill 
 end gathered right. k in z | x = frac pi 0 + k pi left k in z right | left begin gathered x = frac pi 0 + k pi hfill 
 x = frac + pi 0 + k pi hfill 
 end gathered right. , , k in z | phuong trinh vo nghiem"
D09,cho int_0^0 frac 0x + 0 left x + 0 right ^0 dx = a ln 0 + b ln 0 + frac 0 0 . tinh a + b? answers:0 | 0 | 0 | 0,answers:0 | 0 | 0 | 0
D01,phuong trinh cos x + tan frac x 0 = 0 tuong duong voi phuong trinh nao sau day? answers: + t^0 + 0 t^0 + t = 0 | t^0 + 0 t^0 + t = 0 | t^0 + 0 t^0 + t = 0 | t^0 + 0 t^0 + t = 0,answers: + t^0 + 0 t^0 + t = 0 | t^0 + 0 t^0 + t = 0 | t^0 + 0 t^0 + t = 0 | t^0 + 0 t^0 + t = 0
D07,tim gia tri lon nhat va nho nhat cua ham so y = 0 sin ^0 x + cos x + 0 tren mathbb r answers: max y = frac 0 0 ; min y = 0 | max y = 0; min y = 0 | max y = frac 0 0 ; min y = 0 | max y = 0; min y = + 0,answers: max y = frac 0 0 ; min y = 0 | max y = 0; min y = 0 | max y = frac 0 0 ; min y = 0 | max y = 0; min y = + 0
D07,"cho do thi c : y = x^0 + 0 x^0 + 0x + 0 viet phuong trinh tiep tuyen cua c , biet tiep tuyen di qua diem a + 0;0 . answers: y = 0; ;y = + 0x + 0 | y = 0; ;y = + 0x + 0 | y = 0; ;y = + 0x + 0 | y = 0; ;y = + 0x + 0",answers: y = 0; ;y = + 0x + 0 | y = 0; ;y = + 0x + 0 | y = 0; ;y = + 0x + 0 | y = 0; ;y = + 0x + 0
H08,"trong khong gian voi he toa do oxyz, cho ba diem a left 0;0; + 0 right , , ,b left + 0;0;0 right , , ,c left 0; + 0; + 0 right . phuong trinh nao sau day la phuong trinh cua mat phang di qua a va vuong goc voi bc ? answers: x + 0y + 0z + 0 = 0 | x + 0y + 0z = 0 | x + 0y + 0z + 0 = 0 | 0x + y + 0z + 0 = 0",answers: x + 0y + 0z + 0 = 0 | x + 0y + 0z = 0 | x + 0y + 0z + 0 = 0 | 0x + y + 0z + 0 = 0
H08,"trong khong gian voi he toa do oxyz, cho hai diem a left 0;0;0 right va b left 0;0; + 0 right . viet phuong trinh mat phang left p right di qua a va vuong goc voi duong thang ab . answers: left p right : + 0x + 0y + 0z + 0 = 0 | left p right :0x + 0y + 0z + 0 = 0 | left p right :x + y + 0z + 0 = 0 | left p right :0x + y + 0z + 0 = 0",answers: left p right : + 0x + 0y + 0z + 0 = 0 | left p right :0x + 0y + 0z + 0 = 0 | left p right :x + y + 0z + 0 = 0 | left p right :0x + y + 0z + 0 = 0
H07,"cho diem a 0;0;0 , b 0;0;0 , c 0;+0;0 , d +0;+0;0 . lap phuong trinh mat phang p di qua goc toa do va song song voi ab,cd answers:+x + 0y + 0z = 0 | x + 0y + 0z = 0 | x + 0y + 0z = 0 | +x + 0y + 0z = 0",answers:+x + 0y + 0z = 0 | x + 0y + 0z = 0 | x + 0y + 0z = 0 | +x + 0y + 0z = 0
D02,tu cac so tu 0 den 0 hoi co bao nhieu so tu nhien co 0 chu so khac nhau doi mot sao cho bat buoc phai co so 0 va so 0 va 0 so nay khong dung canh nhau answers:0 | 0 0 | 0 0 | 0,answers:0 | 0 0 | 0 0 | 0
D09,tinh the tich khoi tron xoay duoc tao boi phep quay quanh truc ox hinh phang gioi han boi cac duong y = sqrt x ; y = 0 + x va y = 0 . answers: pi | frac 0 pi 0 | frac 0 pi 0 | frac 0 pi 0,answers: pi | frac 0 pi 0 | frac 0 pi 0 | frac 0 pi 0
D07,tinh tong hoanh do cac giao diem cuaduong thang y = 0x + 0 va do thi ham so y = x^0 + 0 x^0 + 0 ? answers:0 | 0 | 0 | 0,answers:0 | 0 | 0 | 0
D02,mot da giac loi co 0 canh. hoi co bao nhieu tam giac co dung 0 canh la canh cua da giac answers:0 | 0 | 0 | 0,answers:0 | 0 | 0 | 0
H07,"cho a left 0;0;0 right ,b left 0;0;0 right va mat phang left p right x + y + 0z = 0 . tim diem m thuoc mat phang p de tam giac abm vuong can tai m answers: m left 0;0;0 right hoac m left + 0;0;0 right | khong co diem m thoa man de bai | m left + 0;
+ 0;0 right hoac m left + 0;0;0 right | m left 0;0;0 right hoac m left 0; frac 0 0 ; frac 0 0 right | dap an khac...","answers: m left 0;0;0 right hoac m left + 0;0;0 right | khong co diem m thoa man de bai | m left + 0;
+ 0;0 right hoac m left + 0;0;0 right | m left 0;0;0 right hoac m left 0; frac 0 0 ; frac 0 0 right | dap an khac..."
D10,"cho so phuc z thoa man left 0 + 0i right z = 0 + i . hoi diem bieu dien cua z la diem nao trong cac diem i, j, k, h o hinh ben answers: diem k | diem h | diem i | diem j",answers: diem k | diem h | diem i | diem j
D10,cho z_0 = a_0 + b_0 i va z_0 = a_0 + b_0 i . hoi z_0 = z_0 khi va chi khi answers: left begin gathered a_0 = a_0 hfill b_0 ne b_0 hfill end gathered right. | left begin gathered a_0 = a_0 hfill b_0 = b_0 hfill end gathered right. | left begin gathered a_0 = a_0 hfill b_0 = b_0 hfill end gathered right. | left begin gathered a_0 = a_0 hfill b_0 i = b_0 i hfill end gathered right. | dap an khac...,answers: left begin gathered a_0 = a_0 hfill b_0 ne b_0 hfill end gathered right. | left begin gathered a_0 = a_0 hfill b_0 = b_0 hfill end gathered right. | left begin gathered a_0 = a_0 hfill b_0 = b_0 hfill end gathered right. | left begin gathered a_0 = a_0 hfill b_0 i = b_0 i hfill end gathered right. | dap an khac...
D02,"co 0 qua cau mau trang khac nhau va 0 qua cau mau xanh khac nhau. ta xep 0 qua cau vao 0 cho cho truoc xep thanh hang ngang.tinh xac suat bien co a: ""0 qua cau dung canh nhau khong cung mau"" answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0",answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0
H07,"trong khong gian voi he toa do oxyz, cho mat phang p di qua 0 diem a + 0;0;0 ,b 0; + 0;0 ,c 0; + 0;0 . vecto nao duoi day la mot vecto phap tuyen cua p ? answers: overrightarrow n = 0;0;0 | overrightarrow n = + 0;
+ 0;0 | overrightarrow n = + 0;0;0 | overrightarrow n = + 0;0;
+ 0","answers: overrightarrow n = 0;0;0 | overrightarrow n = + 0;
+ 0;0 | overrightarrow n = + 0;0;0 | overrightarrow n = + 0;0;
+ 0"
D08,cho phuong trinh log _ left 0 + x right left x^0 + 0x + 0 right = 0 . gia tri cua x la: answers: x = + 0 | x = 0 | x = 0 | x = + 0,answers: x = + 0 | x = 0 | x = 0 | x = + 0
D07,khang dinh nao sau day dung? answers: ham so y = + x^0 + 0 x^0 + 0 co ba diem cuc tri. | ham so y = x^0 + 0x + 0 co hai diem cuc tri. | ham so y = frac x + 0 x + 0 co mot diem cuc tri. | ham so y = frac x^0 + x + 0 x + 0 co hai diem cuc tri.,answers: ham so y = + x^0 + 0 x^0 + 0 co ba diem cuc tri. | ham so y = x^0 + 0x + 0 co hai diem cuc tri. | ham so y = frac x + 0 x + 0 co mot diem cuc tri. | ham so y = frac x^0 + x + 0 x + 0 co hai diem cuc tri.
D07,do thi ham so y = frac x^0 + 0x + 0 x^0 + 0 co tiem can dung la : answers: x = 0 | x = + 0 | x = pm 0 | x = 0,answers: x = 0 | x = + 0 | x = pm 0 | x = 0
D01,rut gon bieu thuc frac sin ^0 x + cos x^0 left sin ^0 x + cos ^0 x right left 0 + operatorname s text inx . cos x right ? answers: frac 0 operatorname s text inx + cos x | frac 0 operatorname s text inx + cos x | + frac 0 operatorname s text inx + cos x | frac 0 operatorname s text inx + cos x,answers: frac 0 operatorname s text inx + cos x | frac 0 operatorname s text inx + cos x | + frac 0 operatorname s text inx + cos x | frac 0 operatorname s text inx + cos x
H06,"cho tam giac abc vuong tai a. canh bc = 0a, goc abc = 0^ circ . khi xoay tam giac abc quanh canh goc vuong ac thi duong gap khuc tao thanh mot hinh non tron xoay. tinh ti so dien tich xung quanh va dien tich toan phan cua hinh non. answers: frac s_ xq s_ tp = frac 0 0 | frac s_ xq s_ tp = frac 0 0 | frac s_ xq s_ tp = frac 0 0 | frac s_ xq s_ tp = frac 0 0 | dap an khac...",answers: frac s_ xq s_ tp = frac 0 0 | frac s_ xq s_ tp = frac 0 0 | frac s_ xq s_ tp = frac 0 0 | frac s_ xq s_ tp = frac 0 0 | dap an khac...
H03,cho hinh lang tru abc. a'b'c' co day la tam giac deu canh a. hinh chieu cua a' tren mat phang abc la trung diem h cua canh bc. aa' = a sqrt 0 . tinh the tich v cua khoi lang tru da cho. answers: frac 0 sqrt 0 a^0 0 | frac 0 sqrt 0 a^0 0 | frac 0 sqrt 0 a^0 0 | frac sqrt 0 a^0 0,answers: frac 0 sqrt 0 a^0 0 | frac 0 sqrt 0 a^0 0 | frac 0 sqrt 0 a^0 0 | frac sqrt 0 a^0 0
D02,khai trien left 0x + y right ^0 ta duoc ket qua la answers: 0 x^0 + 0 x^0 y + 0 x^0 y^0 + 0 x^0 y^0 + 0x y^0 + y^0 | 0 x^0 + 0 x^0 y + 0 x^0 y^0 + 0 x^0 y^0 + 0x y^0 + y^0 | 0 x^0 + 0 x^0 y + 0 x^0 y^0 + 0 x^0 y^0 + 0x y^0 + y^0 | 0 x^0 + 0 x^0 y + 0 x^0 y^0 + 0 x^0 y^0 + 0x y^0 + y^0,answers: 0 x^0 + 0 x^0 y + 0 x^0 y^0 + 0 x^0 y^0 + 0x y^0 + y^0 | 0 x^0 + 0 x^0 y + 0 x^0 y^0 + 0 x^0 y^0 + 0x y^0 + y^0 | 0 x^0 + 0 x^0 y + 0 x^0 y^0 + 0 x^0 y^0 + 0x y^0 + y^0 | 0 x^0 + 0 x^0 y + 0 x^0 y^0 + 0 x^0 y^0 + 0x y^0 + y^0
D07,"mot soi day co chieu dai 0m, duoc chia thanh 0 phan. phan thu nhat duoc uon thanh hinh tam giac deu, phan thu hai duoc uon thanh hinh vuong. hoi do dai cua canh hinh tam giac deu bang bao nhieu de dien tich 0 hinh thu duoc la nho nhat? answers: frac 0 0 + 0 sqrt 0 | frac 0 0 + 0 sqrt 0 | frac 0 0 + 0 sqrt 0 | frac 0 0 + 0 sqrt 0",answers: frac 0 0 + 0 sqrt 0 | frac 0 0 + 0 sqrt 0 | frac 0 0 + 0 sqrt 0 | frac 0 0 + 0 sqrt 0
H05,cho hinh chop s.abcd co day abcd la hinh vuong canh a . tam giac sab vuong tai s va nam trong mat phang vuong goc voi day. hinh chieu vuong goc cua s tren ab la diem h thoa man ah = 0bh . tinh the tich hinh chop s.abcd. answers: frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0,answers: frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0
D08,"voi a,b,c la cac so duong khac 0 cho truoc. dua vao cac do thi o hinh duoi va cac tinh chat cua ham so logarit, so sanh ba so a,b,c ? answers: a > b > c | a > c > b | b > c > a | c > a > b",answers: a > b > c | a > c > b | b > c > a | c > a > b
D07,"tim tat ca cac gia tri cua tham so m de do thi ham so y = frac x + 0 x^0 + m text x + 0 co hai duong tiem can dung answers: m in left + infty ;
+ 0 right cup left 0;
+ infty right backslash left frac 0 0 right | m in left + infty ;
+ 0 right cup left 0;
+ infty right | m in left + infty ;
+ 0 right cup left 0;
+ infty right | m ne frac 0 0","answers: m in left + infty ;
+ 0 right cup left 0;
+ infty right backslash left frac 0 0 right | m in left + infty ;
+ 0 right cup left 0;
+ infty right | m in left + infty ;
+ 0 right cup left 0;
+ infty right | m ne frac 0 0"
D07,tim gia tri lon nhat va nho nhat cua ham so y = frac sin x 0 + cos x tren doan left 0; pi right answers: max y = sqrt 0 ; min y = 0 | max y = frac 0 sqrt 0 ; min y = 0 | max y = 0; min y = + sqrt 0 | max y = sqrt 0 ; min y = frac 0 sqrt 0,answers: max y = sqrt 0 ; min y = 0 | max y = frac 0 sqrt 0 ; min y = 0 | max y = 0; min y = + sqrt 0 | max y = sqrt 0 ; min y = frac 0 sqrt 0
H07,"trong khong gian voi he toa do oxyz , cho mat phang left p right :x + 0y + 0z + 0 = 0 va mat cau left s right : x^0 + y^0 + z^0 + 0x + 0y + 0z + 0 = 0 . gia su diem m in left p right va n in left s right sao cho cung phuong voi overrightarrow u = left 0;0;0 right va khoang cach giua m va n la lon nhat. tinh mn . answers: mn = 0 | mn = 0 + 0 sqrt 0 | mn = 0 sqrt 0 | mn = 0",answers: mn = 0 | mn = 0 + 0 sqrt 0 | mn = 0 sqrt 0 | mn = 0
D01,tim m de phuong trinh m sin x + sqrt 0 cos x = 0 vo nghiem? answers: + 0 < m < 0 | 0 leqslant m leqslant 0 | 0 leqslant m leqslant 0 | 0 leqslant m leqslant 0,answers: + 0 < m < 0 | 0 leqslant m leqslant 0 | 0 leqslant m leqslant 0 | 0 leqslant m leqslant 0
D07,"hinh ve ben la do thi cua ham so y = frac ax + b cx + d . menh de nao sau day la dung: answers: ad > 0, , , ,ab < 0 . | ab < 0, , , ,ad < 0 | bd > 0, , , ,ad > 0 | bd < 0, , , ,ab > 0","answers: ad > 0, , , ,ab < 0 . | ab < 0, , , ,ad < 0 | bd > 0, , , ,ad > 0 | bd < 0, , , ,ab > 0"
D06,"cho ham so y = x^0 + 0m x^0 + 0x + 0m . goi x_0 , x_0 la nghiem cua phuong trinh y' = 0 . tim m thoa man 0 leqslant x_0 < x_0 answers: m > 0 | 0 < m < 0 | m < + 0 | + 0 < m < 0",answers: m > 0 | 0 < m < 0 | m < + 0 | + 0 < m < 0
D01,tim tap xac dinh cua frac 0 cos x answers: x ne k0 pi | x ne frac k pi 0 | x ne frac pi 0 + k pi | x ne frac pi 0 + k0 pi,answers: x ne k0 pi | x ne frac k pi 0 | x ne frac pi 0 + k pi | x ne frac pi 0 + k0 pi
H07,"trong khong gian voi he truc toa do oxyz, cho hai duong thang d_0 : frac x + 0 0 = frac y + 0 0 = frac z 0 , d_0 : frac x + 0 0 = frac y + 0 0 = frac z + 0 + 0 . phuong trinh mat phang left p right chua hai duong thang d_0 , d_0 la answers: left p right : ,0x + 0y + z + 0 = 0 | left p right : ,0x + 0y + z + 0 = 0 | left p right : , + 0x + 0y + z + 0 = 0 | left p right : , + 0x + 0y + 0z + 0 = 0","answers: left p right : ,0x + 0y + z + 0 = 0 | left p right : ,0x + 0y + z + 0 = 0 | left p right : , + 0x + 0y + z + 0 = 0 | left p right : , + 0x + 0y + 0z + 0 = 0"
H01,"cho mat phang left p right va duong thang d subset left p right . khang dinh nao sau day dung : answers: neu a in left p right thi a in d | neu 0 diem a,b,c in left p right va a,b,c thang hang thi a,b,c in d | neu a notin d thi a notin p | forall a,a in d rightarrow a in p","answers: neu a in left p right thi a in d | neu 0 diem a,b,c in left p right va a,b,c thang hang thi a,b,c in d | neu a notin d thi a notin p | forall a,a in d rightarrow a in p"
